_date,total_views,unique_views
2021-01-18,1,1
2021-01-20,1,1
2021-01-21,3,1
2021-01-23,2,1
2021-01-25,2,1
2021-01-26,1,1
2021-01-28,1,1
2021-01-29,3,2
